Date,HE,PGE,SCE,SDGE,VEA,CAISO Total
1/2/2014,24,10447,10187,2097,53,22783
1/3/2014,1,10053,9551,1934,53,21591
1/3/2014,2,9408,9154,1879,55,20495
1/3/2014,3,9209,8919,1829,57,20015
1/3/2014,4,9469,8852,1819,60,20200
1/3/2014,5,9394,9083,1878,65,20420
1/3/2014,6,9841,9584,1993,72,21490
1/3/2014,7,10725,10477,2225,79,23506
1/3/2014,8,11462,10854,2385,82,24783
1/3/2014,9,11802,11223,2504,73,25602
1/3/2014,10,11870,11555,2605,63,26092
1/3/2014,11,11781,11700,2652,55,26188
1/3/2014,12,11639,11674,2646,48,26006
1/3/2014,13,11471,11624,2621,43,25759
1/3/2014,14,11380,11611,2595,41,25626
1/3/2014,15,11312,11550,2520,40,25423
1/3/2014,16,11330,11513,2485,41,25369
1/3/2014,17,11684,11757,2567,46,26054
1/3/2014,18,12881,12924,2906,53,28764
1/3/2014,19,13097,12949,2908,55,29009
1/3/2014,20,12782,12788,2818,56,28444
1/3/2014,21,12422,12451,2714,56,27644
1/3/2014,22,11914,12035,2555,56,26559
1/3/2014,23,11156,11202,2332,54,24744
1/3/2014,24,10343,10325,2096,52,22816
1/4/2014,1,9789,9676,1929,53,21447
1/4/2014,2,9385,9284,1838,53,20561
1/4/2014,3,9150,9044,1763,55,20012
1/4/2014,4,9222,8939,1766,57,19984
1/4/2014,5,9321,9007,1796,61,20185
1/4/2014,6,9356,9276,1831,67,20530
1/4/2014,7,9829,9683,1946,74,21531
1/4/2014,8,10247,9754,2025,76,22103
1/4/2014,9,10578,10058,2145,69,22849
1/4/2014,10,10736,10284,2206,60,23285
1/4/2014,11,10730,10334,2216,53,23332
1/4/2014,12,10604,10275,2209,46,23134
1/4/2014,13,10460,10197,2196,43,22897
1/4/2014,14,10337,10084,2173,41,22635
1/4/2014,15,10323,10043,2171,40,22576
1/4/2014,16,10444,10087,2239,40,22810
1/4/2014,17,10877,10376,2380,44,23677
1/4/2014,18,12195,11762,2742,52,26752
1/4/2014,19,12478,11959,2778,53,27268
1/4/2014,20,12247,11830,2716,53,26846
1/4/2014,21,11960,11566,2632,53,26211
1/4/2014,22,11469,11107,2480,52,25109
1/4/2014,23,10769,10419,2293,50,23531
1/4/2014,24,10042,9690,2080,49,21862
1/5/2014,1,9766,9221,1920,50,20957
1/5/2014,2,9398,8834,1828,52,20112
1/5/2014,3,9044,8587,1803,54,19488
1/5/2014,4,8969,8457,1781,57,19264
1/5/2014,5,9000,8475,1756,62,19293
1/5/2014,6,9166,8676,1822,68,19732
1/5/2014,7,9581,9005,1928,75,20589
1/5/2014,8,9922,9041,1988,78,21029
1/5/2014,9,10212,9308,2067,71,21658
1/5/2014,10,10346,9523,2096,62,22027
1/5/2014,11,10333,9665,2122,55,22175
1/5/2014,12,10258,9728,2146,50,22182
1/5/2014,13,10162,9776,2176,46,22160
1/5/2014,14,10130,9787,2174,43,22133
1/5/2014,15,10111,9798,2186,41,22136
1/5/2014,16,10316,9884,2200,42,22442
1/5/2014,17,10743,10285,2355,48,23431
1/5/2014,18,12235,11730,2722,58,26746
1/5/2014,19,12639,12015,2782,61,27497
1/5/2014,20,12451,11875,2710,62,27099
1/5/2014,21,12103,11618,2593,63,26377
1/5/2014,22,11428,11073,2415,61,24977
1/5/2014,23,10563,10297,2195,60,23115
1/5/2014,24,9848,9654,1992,59,21553
1/6/2014,1,9487,9235,1857,60,20639
1/6/2014,2,9255,8956,1797,62,20070
1/6/2014,3,8967,8808,1788,64,19628
1/6/2014,4,9030,8882,1796,67,19775
1/6/2014,5,9351,9198,1831,73,20453
1/6/2014,6,9984,9754,2023,82,21844
1/6/2014,7,11145,10678,2337,91,24250
1/6/2014,8,12028,11155,2472,92,25746
1/6/2014,9,12172,11460,2505,80,26217
1/6/2014,10,12196,11623,2514,68,26400
1/6/2014,11,12261,11743,2537,59,26600
1/6/2014,12,12240,11785,2537,52,26614
1/6/2014,13,12060,11776,2529,47,26411
1/6/2014,14,11827,11827,2524,43,26222
1/6/2014,15,11746,11787,2519,42,26094
1/6/2014,16,11784,11730,2521,44,26078
1/6/2014,17,12204,11828,2590,51,26673
