,Hour Count,Actual: ,Predicted: 
41676,41676,2555,2476.647177871625
41677,41677,2616,2256.188241919778
41678,41678,2683,2256.188241919778
41679,41679,2710,2311.5068106110734
41680,41680,2734,2270.4453756396883
41681,41681,2778,2308.0914470689468
41682,41682,2824,2502.4128184294177
41683,41683,2905,2680.0279676939617
41684,41684,2992,2964.8476167146446
41685,41685,3015,2974.109247792522
41686,41686,2919,2858.192899818067
41687,41687,2761,2925.134100103137
41688,41688,2508,2827.315015748355
41689,41689,2272,2483.587111565543
41690,41690,2162,2202.1243573132942
41691,41691,2115,2096.8288844435465
41692,41692,2051,2075.63168601205
41693,41693,1994,2075.63168601205
41694,41694,2057,2075.63168601205
41695,41695,2163,2085.258420114077
41696,41696,2422,2179.5625023672965
41697,41697,2513,2351.2999590087647
41698,41698,2545,2521.8817283045064
41699,41699,2566,2514.3705799006934
41700,41700,2616,2569.138482851572
41701,41701,2581,2578.800922111264
41702,41702,2552,2476.647177871625
41703,41703,2515,2476.647177871625
41704,41704,2563,2472.36315680051
41705,41705,2642,2536.5511904120294
41706,41706,2723,2659.3279390446387
41707,41707,2818,2661.8027701522583
41708,41708,2931,2783.9644052287026
41709,41709,3014,2848.873839534379
41710,41710,2894,2810.4687045675923
41711,41711,2690,2900.2668812276347
41712,41712,2456,2776.3201810654937
41713,41713,2236,2581.8113530425235
41714,41714,2082,2290.8023120318194
41715,41715,1980,2114.905983316424
41716,41716,1953,1941.0522854332546
41717,41717,1912,2038.919459062675
41718,41718,1903,2043.587972812095
41719,41719,2056,1918.7404889349825
41720,41720,2320,1996.8094414006814
41721,41721,2435,2289.5866518732114
41722,41722,2475,2487.5115449740742
41723,41723,2533,2436.824337348318
41724,41724,2479,2436.824337348318
41725,41725,2395,2438.519494397384
41726,41726,2386,2458.417890906597
41727,41727,2430,2473.37006953334
41728,41728,2501,2469.0860484622253
41729,41729,2538,2518.321903447001
41730,41730,2639,2600.6054499158336
41731,41731,2748,2668.088511140243
41732,41732,2829,2795.191122214021
41733,41733,2867,2825.8448559012495
41734,41734,2775,2809.8500201840825
41735,41735,2644,2809.8500201840825
41736,41736,2440,2561.3493620636577
41737,41737,2234,2234.2387514183733
41738,41738,2091,2064.5608613220957
41739,41739,1993,1887.036519042985
41740,41740,1932,1844.663403843332
41741,41741,1893,1853.6568025457332
41742,41742,1879,1926.437964040313
41743,41743,1947,1941.9696533082558
41744,41744,2030,2015.2316685281992
41745,41745,2097,2018.0486260769262
41746,41746,2226,2083.6201640473055
41747,41747,2331,2083.6201640473055
41748,41748,2356,2083.6201640473055
41749,41749,2275,2083.6201640473055
41750,41750,2131,2083.6201640473055
41751,41751,2064,2208.2794873021394
41752,41752,1973,2009.9186520761093
41753,41753,2066,2013.3841560719297
41754,41754,2168,2242.025153214442
41755,41755,2297,2523.1534933743533
41756,41756,2497,2583.454690048241
41757,41757,2526,2592.598789631206
41758,41758,2433,2759.0514390591825
41759,41759,2335,2759.0514390591825
41760,41760,2175,2449.1138846321837
41761,41761,2047,2254.0745666357643
41762,41762,1921,2036.9963330938667
41763,41763,1825,1867.5942755008575
41764,41764,1766,1823.9982581841057
41765,41765,1726,1805.6747668891119
41766,41766,1751,1893.0267856107998
41767,41767,1837,1869.6070559367988
41768,41768,1906,1850.4268883809214
41769,41769,1920,1809.5676341606631
41770,41770,1959,2012.3570927730502
41771,41771,2007,1980.2684460125936
41772,41772,1990,1980.2684460125936
41773,41773,1944,1925.105172756122
41774,41774,1892,2081.9786752325717
41775,41775,1893,1911.667405048495
41776,41776,1960,1925.105172756122
41777,41777,2100,1930.060689989096
41778,41778,2273,2200.519528699739
41779,41779,2461,2500.9398646930504
41780,41780,2665,2746.4227210550334
41781,41781,2710,2581.1707148348682
